Date,Term,Contexts,Programs,Total Matches
2015-01-15,Donald Trump,0,0,0
2015-01-15,Jeb Bush,0,0,0
2015-01-15,John Kasich,0,0,0
2015-01-15,Lindsey Graham,0,0,0
2015-01-15,Marco Rubio,0,0,0
2015-01-15,Rand Paul,0,0,0
2015-01-15,Ted Cruz,0,0,0
2015-01-16,Ben Carson,0,0,0
2015-01-16,Carly Fiorina,0,0,0
2015-01-16,Chris Christie,6,9,14
2015-01-16,Donald Trump,0,0,0
2015-01-16,Jeb Bush,4,4,4
2015-01-16,John Kasich,0,0,0
2015-01-16,Lindsey Graham,0,0,0
2015-01-16,Marco Rubio,0,0,0
2015-01-16,Rand Paul,0,0,0
2015-01-16,Ted Cruz,1,1,1
2015-01-17,Ben Carson,0,0,0
2015-01-17,Carly Fiorina,0,0,0
2015-01-17,Chris Christie,5,6,11
2015-01-17,Donald Trump,0,0,0
2015-01-17,Jeb Bush,3,3,4
2015-01-17,John Kasich,0,0,0
2015-01-17,Lindsey Graham,0,0,0
2015-01-17,Marco Rubio,0,0,0
2015-01-17,Rand Paul,4,4,4
2015-01-17,Ted Cruz,1,1,1
2015-01-18,Ben Carson,0,0,0
